Name	hemisphere	Area µm^2	Area mm^2	count	density µm^-2	density mm^-2	coverage index	relative count	relative density	channel	animal
Acs5	both	77025.4	0.0770254	2	2.5965460744118174e-05	25.965460744118175	5.193092148823635e-05	0.00016295934164425977	0.0042159414405547185	Negative	animalid0
B	Left	56336.5	0.0563365	1	1.7750481481810193e-05	17.750481481810194	1.7750481481810193e-05	0.0021321961620469083	0.03026882267112977	Positive	animalid0
B	Left	56336.5	0.0563365	9	0.00015975433333629174	159.75433333629175	0.0014377890000266257	0.0016965127238454288	0.02743287681184699	Negative	animalid0
B	Right	52157.100000000006	0.052157100000000005	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
B	Right	52157.100000000006	0.052157100000000005	4	7.669138046402118e-05	76.6913804640212	0.00030676552185608473	0.000574052812858783	0.01172243130079507	Negative	animalid0
B	both	108493.6	0.10849360000000001	1	9.217133545204509e-06	9.21713354520451	9.217133545204509e-06	0.0013623978201634877	0.02178584737801972	Positive	animalid0
B	both	108493.6	0.10849360000000001	13	0.00011982273608765862	119.82273608765861	0.001557695569139562	0.0010592357206876885	0.01945529268942566	Negative	animalid0
CA1	Right	901611.2	0.9016112	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
CA1	Right	901611.2	0.9016112	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
CA1	Left	1158129.9	1.1581298999999998	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
CA1	Left	1158129.9	1.1581298999999998	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
CA1	both	2059741.1	2.0597411	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
CA1	both	2059741.1	2.0597411	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
CLI	both	353821.0	0.353821	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
CLI	both	353821.0	0.353821	25	7.065719671811453e-05	70.65719671811453	0.0017664299179528632	0.002036991770553247	0.011472417402984257	Negative	animalid0
CLI	Left	178253.90000000002	0.17825390000000002	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
CLI	Left	178253.90000000002	0.17825390000000002	18	0.00010097955781051633	100.97955781051634	0.001817632040589294	0.0033930254476908575	0.017340122875411063	Negative	animalid0
CLI	Right	175567.09999999998	0.17556709999999998	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
CLI	Right	175567.09999999998	0.17556709999999998	7	3.987079583817242e-05	39.87079583817242	0.00027909557086720695	0.0010045924225028703	0.0060943311007456554	Negative	animalid0
COApl	both	1269531.9	1.2695318999999998	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
COApl	both	1269531.9	1.2695318999999998	3	2.363075713182158e-06	2.363075713182158	7.0892271395464744e-06	0.0002444390124663896	0.0003836861946934576	Negative	animalid0
COApl	Right	518092.2	0.5180922	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
COApl	Right	518092.2	0.5180922	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
COApl	Left	751439.7	0.7514396999999999	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
COApl	Left	751439.7	0.7514396999999999	3	3.992336311216988e-06	3.992336311216988	1.1977008933650964e-05	0.0005655042412818096	0.0006855605599538318	Negative	animalid0
COApm	both	3026229.1	3.0262291	4	1.3217769930240905e-06	1.3217769930240906	5.287107972096362e-06	0.005449591280653951	0.0031241851597976116	Positive	animalid0
COApm	both	3026229.1	3.0262291	16	5.287107972096362e-06	5.287107972096362	8.45937275535418e-05	0.0013036747331540781	0.0008584533823570817	Negative	animalid0
COApm	Left	1613923.7000000002	1.6139237000000002	2	1.2392159555002506e-06	1.2392159555002507	2.478431911000501e-06	0.0042643923240938165	0.0021131600315580003	Positive	animalid0
COApm	Left	1613923.7000000002	1.6139237000000002	15	9.29411966625188e-06	9.294119666251879	0.0001394117949937782	0.002827521206409048	0.0015959782408038845	Negative	animalid0
COApm	Right	1412305.4	1.4123054	2	1.4161243028597073e-06	1.4161243028597073	2.8322486057194145e-06	0.007547169811320755	0.005902949909295765	Positive	animalid0
COApm	Right	1412305.4	1.4123054	1	7.080621514298536e-07	0.7080621514298536	7.080621514298536e-07	0.00014351320321469576	0.00010822871979366123	Negative	animalid0
CS	Left	2016780.7	2.0167807	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
CS	Left	2016780.7	2.0167807	276	0.00013685176578692964	136.85176578692963	0.03777108735719258	0.052026390197926486	0.023500067597000317	Negative	animalid0
CS	both	3996964.2	3.9969642000000003	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
CS	both	3996964.2	3.9969642000000003	598	0.00014961354920316774	149.61354920316774	0.08946890242349431	0.04872484315163367	0.024292346219852486	Negative	animalid0
CS	Right	1980183.5	1.9801835	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
CS	Right	1980183.5	1.9801835	322	0.00016261119234656788	162.61119234656786	0.052360803935594856	0.04621125143513203	0.02485544685060512	Negative	animalid0
CUN	Right	2205011.9	2.2050118999999997	1	4.5351229170237135e-07	0.4535122917023714	4.5351229170237135e-07	0.0037735849056603774	0.00189041338797943	Positive	animalid0
CUN	Right	2205011.9	2.2050118999999997	152	6.893386833876045e-05	68.93386833876045	0.010477947987491586	0.021814006888633754	0.010536680015536672	Negative	animalid0
CUN	Left	2279039.7	2.2790397000000002	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
CUN	Left	2279039.7	2.2790397000000002	66	2.8959565732883017e-05	28.959565732883018	0.0019113313383702791	0.012441093308199811	0.00497291173693809	Negative	animalid0
CUN	both	4484051.6	4.4840516	1	2.2301259869534063e-07	0.22301259869534062	2.2301259869534063e-07	0.0013623978201634877	0.0005271181560649125	Positive	animalid0
CUN	both	4484051.6	4.4840516	218	4.8616746515584256e-05	48.61674651558425	0.010598450740397369	0.017762568239224313	0.00789376927911536	Negative	animalid0
DCO	Right	699800.8	0.6998008	2	2.857956149807202e-06	2.8579561498072024	5.715912299614404e-06	0.007547169811320755	0.011913058734468322	Positive	animalid0
DCO	Right	699800.8	0.6998008	145	0.00020720182086102215	207.20182086102216	0.03004426402484821	0.020809414466130886	0.031671213841071376	Negative	animalid0
DCO	Left	684611.7	0.6846116999999999	1	1.46068201872682e-06	1.4606820187268201	1.46068201872682e-06	0.0021321961620469083	0.0024908127167737604	Positive	animalid0
DCO	Left	684611.7	0.6846116999999999	149	0.00021764162079029617	217.64162079029617	0.03242860149775413	0.028086710650329878	0.03737323205939336	Negative	animalid0
DCO	both	1384412.5	1.3844125	3	2.1669841900445135e-06	2.1669841900445133	6.5009525701335405e-06	0.004087193460490463	0.0051219380302299795	Positive	animalid0
DCO	both	1384412.5	1.3844125	294	0.00021236445062436233	212.36445062436232	0.06243514848356252	0.023955023221706184	0.03448103989799977	Negative	animalid0
DG-mo	Right	1162014.0	1.162014	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DG-mo	Right	1162014.0	1.162014	8	6.88459863650524e-06	6.884598636505239	5.507678909204192e-05	0.001148105625717566	0.0010523247079616915	Negative	animalid0
DG-mo	Left	1261372.7	1.2613727	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DG-mo	Left	1261372.7	1.2613727	9	7.1350838653793605e-06	7.135083865379361	6.421575478841425e-05	0.0016965127238454288	0.0012252304687667794	Negative	animalid0
DG-mo	both	2423386.7	2.4233867	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DG-mo	both	2423386.7	2.4233867	17	7.014976190139196e-06	7.014976190139197	0.00011925459523236633	0.001385154403976208	0.0011390026587998023	Negative	animalid0
DG-po	both	469783.5	0.4697835	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DG-po	both	469783.5	0.4697835	7	1.4900480753368308e-05	14.900480753368306	0.00010430336527357814	0.0005703576957549092	0.0024193506485935797	Negative	animalid0
DG-po	Right	227128.30000000002	0.2271283	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DG-po	Right	227128.30000000002	0.2271283	6	2.6416787340018834e-05	26.416787340018836	0.000158500724040113	0.0008610792192881745	0.004037858921138616	Negative	animalid0
DG-po	Left	242655.2	0.24265520000000002	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DG-po	Left	242655.2	0.24265520000000002	1	4.121073852940304e-06	4.121073852940303	4.121073852940304e-06	0.00018850141376060322	0.0007076672599687943	Negative	animalid0
DG-sg	Left	360222.9	0.3602229	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DG-sg	Left	360222.9	0.3602229	1	2.776058934620758e-06	2.7760589346207585	2.776058934620758e-06	0.00018850141376060322	0.0004767024542336975	Negative	animalid0
DG-sg	Right	346052.8	0.3460528	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DG-sg	Right	346052.8	0.3460528	6	1.7338394603366885e-05	17.338394603366886	0.00010403036762020131	0.0008610792192881745	0.0026502083855355248	Negative	animalid0
DG-sg	both	706275.7	0.7062757	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DG-sg	both	706275.7	0.7062757	7	9.911143764396821e-06	9.911143764396822	6.937800635077776e-05	0.0005703576957549092	0.0016092455331870573	Negative	animalid0
DN	Left	845567.7000000001	0.8455677	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DN	Left	845567.7000000001	0.8455677	7	8.27846191381246e-06	8.27846191381246	5.7949233396687214e-05	0.0013195098963242225	0.0014215703645116275	Negative	animalid0
DN	Right	829843.6000000001	0.8298436000000001	1	1.2050463484926556e-06	1.2050463484926555	1.2050463484926556e-06	0.0037735849056603774	0.005023095938094791	Positive	animalid0
DN	Right	829843.6000000001	0.8298436000000001	50	6.025231742463278e-05	60.25231742463278	0.003012615871231639	0.007175660160734788	0.00920968754833288	Negative	animalid0
DN	both	1675411.3	1.6754113	1	5.968683630103247e-07	0.5968683630103248	5.968683630103247e-07	0.0013623978201634877	0.0014107729911406954	Positive	animalid0
DN	both	1675411.3	1.6754113	57	3.4021496691588505e-05	34.02149669158851	0.0019392253114205449	0.0046443412368614035	0.005523978148712586	Negative	animalid0
DR	both	1130172.3	1.1301723000000001	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DR	both	1130172.3	1.1301723000000001	92	8.140351696816494e-05	81.40351696816494	0.007489123561071174	0.007496129715635949	0.013217268277079482	Negative	animalid0
DR	Right	525277.7	0.5252777	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DR	Right	525277.7	0.5252777	41	7.80539512718701e-05	78.0539512718701	0.0032002120021466744	0.005884041331802526	0.011930702981273831	Negative	animalid0
DR	Left	604894.6	0.6048946	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DR	Left	604894.6	0.6048946	51	8.431220910221384e-05	84.31220910221384	0.004299922664212906	0.009613572101790764	0.014478020080787907	Negative	animalid0
DTN	both	920215.27	0.92021527	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DTN	both	920215.27	0.92021527	90	9.780320207031557e-05	97.80320207031556	0.0088022881863284	0.007333170373991689	0.015880040669819198	Negative	animalid0
DTN	Right	463533.49	0.46353349	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DTN	Right	463533.49	0.46353349	51	0.00011002441269130306	110.02441269130306	0.0056112450472564565	0.007319173363949483	0.016817452122787086	Negative	animalid0
DTN	Left	456681.77999999997	0.45668178	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
DTN	Left	456681.77999999997	0.45668178	39	8.539863359558597e-05	85.39863359558598	0.003330546710227853	0.007351555136663525	0.0146645799610092	Negative	animalid0
ECT1	both	76931.4	0.0769314	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ECT1	both	76931.4	0.0769314	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
ECT1	Right	29036.8	0.029036799999999998	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ECT1	Right	29036.8	0.029036799999999998	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
ECT1	Left	47894.6	0.047894599999999996	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ECT1	Left	47894.6	0.047894599999999996	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
ECT2/3	both	21637.7	0.0216377	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ECT2/3	both	21637.7	0.0216377	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
ECT2/3	Left	19017.9	0.0190179	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ECT2/3	Left	19017.9	0.0190179	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
ECT2/3	Right	2619.8	0.0026198000000000003	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ECT2/3	Right	2619.8	0.0026198000000000003	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
ENTl1	both	5314397.0	5.314397	2	3.7633620521763807e-07	0.37633620521763805	7.526724104352761e-07	0.0027247956403269754	0.000889517667231831	Positive	animalid0
ENTl1	both	5314397.0	5.314397	5	9.408405130440951e-07	0.9408405130440952	4.7042025652204756e-06	0.0004073983541106494	0.00015276172246602175	Negative	animalid0
ENTl1	Left	2655041.2	2.6550412000000003	1	3.7664198958569833e-07	0.3766419895856983	3.7664198958569833e-07	0.0021321961620469083	0.0006422648087013121	Positive	animalid0
ENTl1	Left	2655041.2	2.6550412000000003	5	1.8832099479284915e-06	1.8832099479284914	9.416049739642458e-06	0.000942507068803016	0.00032338319364155207	Negative	animalid0
ENTl1	Right	2659355.8	2.6593557999999997	1	3.7603091696116783e-07	0.37603091696116786	3.7603091696116783e-07	0.0037735849056603774	0.0015674412639384168	Positive	animalid0
ENTl1	Right	2659355.8	2.6593557999999997	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
ENTl2	Right	4376302.3	4.3763023	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTl2	Right	4376302.3	4.3763023	1	2.2850341028772168e-07	0.22850341028772167	2.2850341028772168e-07	0.00014351320321469576	3.49272045031429e-05	Negative	animalid0
ENTl2	Left	4523955.7	4.5239557	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTl2	Left	4523955.7	4.5239557	7	1.5473184231224899e-06	1.54731842312249	1.0831228961857429e-05	0.0013195098963242225	0.0002657041897002348	Negative	animalid0
ENTl2	both	8900258.0	8.900258	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTl2	both	8900258.0	8.900258	8	8.98850347933734e-07	0.8988503479337342	7.190802783469872e-06	0.0006518373665770391	0.00014594389323783805	Negative	animalid0
ENTl3	Right	3160177.9	3.1601779	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTl3	Right	3160177.9	3.1601779	2	6.328757631018178e-07	0.6328757631018178	1.2657515262036356e-06	0.0002870264064293915	9.673632955896226e-05	Negative	animalid0
ENTl3	Left	3301035.4	3.3010354	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTl3	Left	3301035.4	3.3010354	7	2.1205467835940202e-06	2.1205467835940204	1.4843827485158142e-05	0.0013195098963242225	0.00036413847107130644	Negative	animalid0
ENTl3	both	6461213.3	6.4612133	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTl3	both	6461213.3	6.4612133	9	1.3929272386039321e-06	1.3929272386039322	1.253634514743539e-05	0.0007333170373991689	0.0002261658179987442	Negative	animalid0
ENTl5	Right	3276593.2	3.2765932	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTl5	Right	3276593.2	3.2765932	1	3.0519504221640937e-07	0.3051950422164094	3.0519504221640937e-07	0.00014351320321469576	4.664967424081654e-05	Negative	animalid0
ENTl5	Left	3482993.0	3.482993	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTl5	Left	3482993.0	3.482993	2	5.742187825241107e-07	0.5742187825241107	1.1484375650482215e-06	0.00037700282752120643	9.860435579467417e-05	Negative	animalid0
ENTl5	both	6759586.2	6.7595862	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTl5	both	6759586.2	6.7595862	3	4.4381414945192947e-07	0.44381414945192943	1.3314424483557885e-06	0.0002444390124663896	7.206089978598914e-05	Negative	animalid0
ENTl6a	Right	2763031.0	2.763031	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTl6a	Right	2763031.0	2.763031	2	7.238427654268084e-07	0.7238427654268085	1.4476855308536169e-06	0.0002870264064293915	0.00011064081828953395	Negative	animalid0
ENTl6a	Left	2981047.4	2.9810474	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTl6a	Left	2981047.4	2.9810474	12	4.025430793217176e-06	4.025430793217176	4.8305169518606115e-05	0.0022620169651272385	0.0006912435159582357	Negative	animalid0
ENTl6a	both	5744078.4	5.7440784	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTl6a	both	5744078.4	5.7440784	14	2.4372926386241524e-06	2.4372926386241525	3.4122096940738134e-05	0.0011407153915098183	0.0003957365955950608	Negative	animalid0
ENTm1	Right	4636035.4	4.636035400000001	8	1.7256123626666007e-06	1.7256123626666007	1.3804898901332806e-05	0.03018867924528302	0.007193014991065787	Positive	animalid0
ENTm1	Right	4636035.4	4.636035400000001	11	2.372716998666576e-06	2.3727169986665757	2.6099886985332335e-05	0.0015786452353616532	0.00036267455149208323	Negative	animalid0
ENTm1	Left	4060752.1	4.0607521	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTm1	Left	4060752.1	4.0607521	5	1.2312990000054423e-06	1.2312990000054422	6.156495000027212e-06	0.000942507068803016	0.0002114376059808967	Negative	animalid0
ENTm1	both	8696787.5	8.6967875	8	9.198798981807938e-07	0.9198798981807939	7.35903918544635e-06	0.010899182561307902	0.0021742511345408137	Positive	animalid0
ENTm1	both	8696787.5	8.6967875	16	1.8397597963615876e-06	1.8397597963615877	2.94361567417854e-05	0.0013036747331540781	0.0002987168085551622	Negative	animalid0
ENTm2	Left	4793301.4	4.793301400000001	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTm2	Left	4793301.4	4.793301400000001	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
ENTm2	Right	5898451.9	5.8984519	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTm2	Right	5898451.9	5.8984519	7	1.1867520696405101e-06	1.1867520696405103	8.30726448748357e-06	0.0010045924225028703	0.00018139743375676632	Negative	animalid0
ENTm2	both	10691753.3	10.6917533	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTm2	both	10691753.3	10.6917533	7	6.547102054814527e-07	0.6547102054814526	4.582971438370169e-06	0.0005703576957549092	0.00010630352043603193	Negative	animalid0
ENTm3	both	8811831.0	8.811831	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTm3	both	8811831.0	8.811831	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
ENTm3	Right	4665271.4	4.6652714	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTm3	Right	4665271.4	4.6652714	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
ENTm3	Left	4146559.6	4.1465596	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTm3	Left	4146559.6	4.1465596	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
ENTm5	Left	4073491.7	4.0734917	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTm5	Left	4073491.7	4.0734917	1	2.4548963730550865e-07	0.24548963730550868	2.4548963730550865e-07	0.00018850141376060322	4.2155269520048314e-05	Negative	animalid0
ENTm5	Right	4210814.4	4.2108144	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTm5	Right	4210814.4	4.2108144	1	2.374837513617318e-07	0.2374837513617318	2.374837513617318e-07	0.00014351320321469576	3.629986764547842e-05	Negative	animalid0
ENTm5	both	8284306.1	8.2843061	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTm5	both	8284306.1	8.2843061	2	2.414203405641904e-07	0.2414203405641904	4.828406811283808e-07	0.00016295934164425977	3.919876594556343e-05	Negative	animalid0
ENTm6	both	5592249.91	5.5922499100000005	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTm6	both	5592249.91	5.5922499100000005	2	3.5763780807142077e-07	0.3576378080714207	7.152756161428415e-07	0.00016295934164425977	5.806868095337023e-05	Negative	animalid0
ENTm6	Left	2777427.31	2.77742731	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTm6	Left	2777427.31	2.77742731	1	3.600454263553706e-07	0.36004542635537057	3.600454263553706e-07	0.00018850141376060322	6.182669115512506e-05	Negative	animalid0
ENTm6	Right	2814822.6	2.8148226000000003	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
ENTm6	Right	2814822.6	2.8148226000000003	1	3.5526217531435195e-07	0.35526217531435195	3.5526217531435195e-07	0.00014351320321469576	5.430253593944948e-05	Negative	animalid0
EPv	both	89415.5	0.0894155	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
EPv	both	89415.5	0.0894155	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
EPv	Left	53757.3	0.0537573	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
EPv	Left	53757.3	0.0537573	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
EPv	Right	35658.2	0.035658199999999994	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
EPv	Right	35658.2	0.035658199999999994	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
FN	both	1407215.8	1.4072158000000001	22	1.5633707353200553e-05	15.633707353200553	0.00034394156177041215	0.02997275204359673	0.03695222171611649	Positive	animalid0
FN	both	1407215.8	1.4072158000000001	67	4.7611745121110777e-05	47.61174512111077	0.003189986923114422	0.0054591379450827015	0.007730589928341242	Negative	animalid0
FN	Left	707984.4	0.7079844000000001	9	1.271214450487892e-05	12.71214450487892	0.00011440930054391028	0.019189765458422176	0.02167725130060623	Positive	animalid0
FN	Left	707984.4	0.7079844000000001	26	3.672397301409466e-05	36.72397301409466	0.0009548232983664611	0.0049010367577756835	0.006306209081768856	Negative	animalid0
FN	Right	699231.4	0.6992314000000001	13	1.8591842414399582e-05	18.59184241439958	0.00024169395138719455	0.04905660377358491	0.07749793875587031	Positive	animalid0
FN	Right	699231.4	0.6992314000000001	41	5.863581069156791e-05	58.63581069156791	0.0024040682383542843	0.005884041331802526	0.008962601252441839	Negative	animalid0
GRN	both	2811622.2	2.8116222000000004	53	1.885032775740638e-05	18.85032775740638	0.0009990673711425381	0.07220708446866485	0.04455510615468599	Positive	animalid0
GRN	both	2811622.2	2.8116222000000004	202	7.184464541502055e-05	71.84464541502054	0.01451261837383415	0.016458893506070237	0.011665220227442236	Negative	animalid0
GRN	Left	1449375.0	1.449375	44	3.0357912893488573e-05	30.35791289348857	0.0013357481673134971	0.09381663113006397	0.05176751306606813	Positive	animalid0
GRN	Left	1449375.0	1.449375	98	6.761535144458819e-05	67.61535144458819	0.006626304441569642	0.018473138548539113	0.011610850034749888	Negative	animalid0
GRN	Right	1362247.2	1.3622471999999999	9	6.606730408401647e-06	6.606730408401647	5.946057367561482e-05	0.033962264150943396	0.027539389435137496	Positive	animalid0
GRN	Right	1362247.2	1.3622471999999999	104	7.634444027486348e-05	76.34444027486349	0.007939821788585802	0.014925373134328358	0.011669400797128571	Negative	animalid0
HATA	Right	1511953.5	1.5119535	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
HATA	Right	1511953.5	1.5119535	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
HATA	both	2946547.5	2.9465475	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
HATA	both	2946547.5	2.9465475	1	3.3938024077331184e-07	0.33938024077331186	3.3938024077331184e-07	8.147967082212988e-05	5.5104249267202283e-05	Negative	animalid0
HATA	Left	1434594.0	1.434594	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
HATA	Left	1434594.0	1.434594	1	6.970613288498349e-07	0.6970613288498348	6.970613288498349e-07	0.00018850141376060322	0.00011969877226670388	Negative	animalid0
I5	Left	107201.5	0.1072015	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
I5	Left	107201.5	0.1072015	0	0.0	0.0	0.0	0.0	0.0	Negative	animalid0
I5	Right	119674.0	0.119674	0	0.0	0.0	0.0	0.0	0.0	Positive	animalid0
I5	Right	119674.0	0.119674	4	3.3424135568293866e-05	33.42413556829386	0.00013369654227317546	0.000574052812858783	0.005108946150364311	Negative	animalid0
